id,action_id,verb_id,noun_id,action_cls,verb_cls,noun_cls
489,135,16,12,attempt to position interior,attempt to position,interior
505,126,17,2,attempt to pick up screwdriver,attempt to pick up,screwdriver
513,134,3,15,inspect wheel,inspect,wheel
536,128,0,22,pick up rear bumper,pick up,rear bumper
557,69,16,6,attempt to position cabin,attempt to position,cabin
563,133,0,23,pick up screwdriver bit,pick up,screwdriver bit
599,140,2,23,put down screwdriver bit,put down,screwdriver bit
633,73,18,15,spin wheel,spin,wheel
649,78,11,14,tilt up roof,tilt up,roof
650,94,14,14,tilt down roof,tilt down,roof
678,90,11,19,tilt up dump bed,tilt up,dump bed
679,102,14,19,tilt down dump bed,tilt down,dump bed
729,111,11,21,tilt up excavator arm,tilt up,excavator arm
758,113,7,16,unscrew rear base with screwdriver,unscrew,rear base
804,115,19,6,attempt to remove cabin,attempt to remove,cabin
